Course,Course Title,Units,Sec,Bldg/Room,Days,Begin,Teaching Location,End,Delivery Mode,Instructor,
15050,Study Abroad,0,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,Remote only,"Cortina, Thomas",
15090,Computer Science Practicum,3,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,Remote only,"Stehlik, Mark",
15104,Introduction to Computing for Creative Practice,10,Lec 1,HH B131,MWF,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Cortina, Thomas",
,,,A,GHC 5210,T,08:00AM,"Pittsburgh, Pennsylvania",09:20AM,In-person Expectation,"Cortina, Thomas",
,,,B,GHC 5210,T,09:30AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Cortina, Thomas",
,,,C,GHC 5210,T,11:00AM,"Pittsburgh, Pennsylvania",12:20PM,In-person Expectation,"Cortina, Thomas",
,,,E,GHC 5210,T,07:00PM,"Pittsburgh, Pennsylvania",08:20PM,In-person Expectation,"Cortina, Thomas",
15110,Principles of Computing,10,Lec 1,HOA 160,MWF,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,A,GHC 5208,R,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,B,GHC 5208,R,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,C,GHC 5208,R,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,D,GHC 5208,R,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,E,GHC 5208,R,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,F,GHC 5208,R,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,G,GHC 5208,R,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,H,GHC 5208,R,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,Lec 2,HOA 160,MWF,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,I,GHC 5210,R,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,J,GHC 5210,R,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,K,GHC 5210,R,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,L,GHC 5210,R,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,M,GHC 5210,R,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,N,GHC 5210,R,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,O,GHC 5210,R,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,P,GHC 5210,R,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,Lec 3,CMB 2152,MW,08:30AM,"Doha, Qatar",09:45AM,In-person Expectation,"Di Caro, Gianni",
,,,W,CMB 1185,R,11:30AM,"Doha, Qatar",12:45PM,In-person Expectation,"Di Caro, Gianni",
15112,Fundamentals of Programming and Computer Science,12,Lec 1,CUC MCCNMY,TR,09:30AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Kosbie, David",
,,,A,WEH 4625,W,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Kosbie, David",
,,,,GHC CLSTR,F,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Kosbie, David",
,,,B,PH A18B,W,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Kosbie, David",
,,,,GHC CLSTR,F,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Kosbie, David",
,,,C,BH 235A,W,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Kosbie, David",
,,,,GHC CLSTR,F,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Kosbie, David",
,,,D,WEH 5302,W,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Kosbie, David",
,,,,GHC CLSTR,F,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Kosbie, David",
,,,E,WEH 5302,W,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Kosbie, David",
,,,,GHC CLSTR,F,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Kosbie, David",
,,,F,GHC 4211,W,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Kosbie, David",
,,,,GHC CLSTR,F,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Kosbie, David",
,,,G,DH 1112,W,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Kosbie, David",
,,,,GHC CLSTR,F,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Kosbie, David",
,,,H,WEH 5409,W,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Kosbie, David",
,,,,GHC CLSTR,F,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Kosbie, David",
,,,I,WEH 4625,W,05:00PM,"Pittsburgh, Pennsylvania",05:50PM,In-person Expectation,"Kosbie, David",
,,,,GHC CLSTR,F,05:00PM,"Pittsburgh, Pennsylvania",05:50PM,In-person Expectation,"Kosbie, David",
,,,J,WEH 5302,W,05:00PM,"Pittsburgh, Pennsylvania",05:50PM,In-person Expectation,"Kosbie, David",
,,,,GHC CLSTR,F,05:00PM,"Pittsburgh, Pennsylvania",05:50PM,In-person Expectation,"Kosbie, David",
,,,K,WEH 4625,W,08:00PM,"Pittsburgh, Pennsylvania",08:50PM,In-person Expectation,"Kosbie, David",
,,,,GHC CLSTR,F,08:00PM,"Pittsburgh, Pennsylvania",08:50PM,In-person Expectation,"Kosbie, David",
,,,L,WEH 4623,W,08:00PM,"Pittsburgh, Pennsylvania",08:50PM,In-person Expectation,"Kosbie, David",
,,,,GHC CLSTR,F,08:00PM,"Pittsburgh, Pennsylvania",08:50PM,In-person Expectation,"Kosbie, David",
,,,Lec 2,DH 2210,TR,02:00PM,"Pittsburgh, Pennsylvania",03:20PM,In-person Expectation,"Schick, Austin",
,,,M,PH A22,W,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Schick, Austin",
,,,,GHC CLSTR,F,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Schick, Austin",
,,,N,WEH 5312,W,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Schick, Austin",
,,,,GHC CLSTR,F,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Schick, Austin",
,,,O,WEH 5320,W,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Schick, Austin",
,,,,GHC CLSTR,F,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Schick, Austin",
,,,P,WEH 5310,W,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Schick, Austin",
,,,,GHC CLSTR,F,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Schick, Austin",
,,,Q,WEH 5310,W,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Schick, Austin",
,,,,GHC CLSTR,F,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Schick, Austin",
,,,S,WEH 5302,W,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Schick, Austin",
,,,,GHC CLSTR,F,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Schick, Austin",
,,,T,GHC 4211,W,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Schick, Austin",
,,,,GHC CLSTR,F,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Schick, Austin",
,,,U,GHC 4301,W,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Schick, Austin",
,,,,GHC CLSTR,F,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Schick, Austin",
,,,W,CMB 3069,UTR,02:30PM,"Doha, Qatar",03:45PM,In-person Expectation,"Riley, Ryan",
15121,Introduction to Data Structures,10,Lec 1,BH A36,TR,11:00AM,"Pittsburgh, Pennsylvania",12:20PM,In-person Expectation,"Xhakaj, Franceska",
,,,A,WEH 5310,W,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Xhakaj, Franceska",
,,,B,WEH 5310,W,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Xhakaj, Franceska",
,,,C,WEH 5310,W,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Xhakaj, Franceska",
,,,Lec 2,CMB 2152,UT,08:30AM,"Doha, Qatar",09:45AM,In-person Expectation,"Riley, Ryan",
,,,W,CMB 2152,R,08:45AM,"Doha, Qatar",09:35AM,In-person Expectation,"Riley, Ryan",
15122,Principles of Imperative Computation,12,Lec 1,DH 2210,TR,09:30AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Cervesato, Iliano","Kohlbrenner, Anne"
,,,,DH 2210,T,07:00PM,"Pittsburgh, Pennsylvania",08:20PM,In-person Expectation,"Cervesato, Iliano","Kohlbrenner, Anne"
,,,A,WEH 4625,F,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,B,PH A18B,F,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,C,POS A35,F,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,D,GHC 4301,F,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,E,GHC 4301,F,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,F,PH A18C,F,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,G,PH A18C,F,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,H,PH A18A,F,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,I,PH A18B,F,05:00PM,"Pittsburgh, Pennsylvania",05:50PM,In-person Expectation,"Cervesato, Iliano","Kohlbrenner, Anne"
,,,S,GHC 5222,F,05:00PM,"Pittsburgh, Pennsylvania",05:50PM,In-person Expectation,"Cervesato, Iliano","Kohlbrenner, Anne"
,,,,GHC 4301,F,08:00AM,"Pittsburgh, Pennsylvania",08:50AM,In-person Expectation,"Cervesato, Iliano","Kohlbrenner, Anne"
,,,,PH A18B,F,08:00AM,"Pittsburgh, Pennsylvania",08:50AM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,Lec 2,DH 2315,TR,11:00AM,"Pittsburgh, Pennsylvania",12:20PM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,,DH 2315,T,07:00PM,"Pittsburgh, Pennsylvania",08:20PM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,J,GHC 4301,F,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,K,BH 235B,F,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,L,BH 235A,F,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,M,POS 146,F,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,N,WEH 4625,F,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,O,WEH 4625,F,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,P,PH A18B,F,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
,,,Q,GHC 4211,F,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Kohlbrenner, Anne","Cervesato, Iliano"
15150,Principles of Functional Programming,12,Lec 1,PH 100,TR,11:00AM,"Pittsburgh, Pennsylvania",12:20PM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,A,GHC 5208,W,08:00AM,"Pittsburgh, Pennsylvania",09:20AM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,B,GHC 5208,W,09:30AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,C,GHC 5208,W,11:00AM,"Pittsburgh, Pennsylvania",12:20PM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,D,GHC 5208,W,12:30PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,E,GHC 5208,W,02:00PM,"Pittsburgh, Pennsylvania",03:20PM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,F,GHC 5208,W,03:30PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,G,GHC 5210,W,08:00AM,"Pittsburgh, Pennsylvania",09:20AM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,H,GHC 5210,W,09:30AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,I,GHC 5210,W,11:00AM,"Pittsburgh, Pennsylvania",12:20PM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,J,GHC 5210,W,12:30PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,K,GHC 5210,W,02:00PM,"Pittsburgh, Pennsylvania",03:20PM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,L,GHC 5210,W,03:30PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Kaynar, Zeliha Dilsun","Balzer, Stephanie"
,,,Lec 3,CMB 2147,UT,08:30AM,"Doha, Qatar",09:45AM,In-person Expectation,"Reis, Giselle",
,,,W,CMB 2147,R,08:30AM,"Doha, Qatar",09:45AM,In-person Expectation,"Reis, Giselle",
15151,Mathematical Foundations for Computer Science,12,Lec 1,GHC 4401,MWF,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Mackey, John",
,,,A,WEH 5310,TR,08:00AM,"Pittsburgh, Pennsylvania",08:50AM,In-person Expectation,"Mackey, John",
,,,B,WEH 5320,TR,08:00AM,"Pittsburgh, Pennsylvania",08:50AM,In-person Expectation,"Mackey, John",
,,,C,GHC 4102,TR,05:00PM,"Pittsburgh, Pennsylvania",05:50PM,In-person Expectation,"Mackey, John",
,,,D,WEH 5312,TR,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Mackey, John",
,,,E,WEH 5310,TR,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Mackey, John",
,,,F,WEH 5320,TR,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Mackey, John",
,,,G,PH 225B,TR,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Mackey, John",
,,,H,PH 226B,TR,05:00PM,"Pittsburgh, Pennsylvania",05:50PM,In-person Expectation,"Mackey, John",
,,,I,WEH 5312,TR,05:00PM,"Pittsburgh, Pennsylvania",05:50PM,In-person Expectation,"Mackey, John",
15195,Competition Programming I,5,A,POS 151,W,07:00PM,"Pittsburgh, Pennsylvania",09:50PM,In-person Expectation,"Sleator, Danny",
15210,Parallel and Sequential Data Structures and Algorithms,12,Lec 1,GHC 4401,MWF,09:30AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Blelloch, Guy","Garrod, Charles"
,,,A,WEH 6403,T,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Blelloch, Guy","Garrod, Charles"
,,,B,WEH 4708,T,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Blelloch, Guy","Garrod, Charles"
,,,C,WEH 6403,T,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Blelloch, Guy","Garrod, Charles"
,,,D,PH 225B,T,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Blelloch, Guy","Garrod, Charles"
,,,E,PH A18A,T,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Blelloch, Guy","Garrod, Charles"
,,,F,PH 225B,T,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Blelloch, Guy","Garrod, Charles"
,,,G,DH 1117,T,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Blelloch, Guy","Garrod, Charles"
,,,H,WEH 8427,T,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Blelloch, Guy","Garrod, Charles"
,,,I,DH 1117,T,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Blelloch, Guy","Garrod, Charles"
,,,J,WEH 4708,T,05:00PM,"Pittsburgh, Pennsylvania",05:50PM,In-person Expectation,"Garrod, Charles","Blelloch, Guy"
,,,Lec 2,DNM,MWF,09:30AM,"Pittsburgh, Pennsylvania",10:50AM,Remote only,"Garrod, Charles","Blelloch, Guy"
,,,K,BH 237B,T,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Garrod, Charles","Blelloch, Guy"
,,,L,WEH 5421,T,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Garrod, Charles","Blelloch, Guy"
15213,Introduction to Computer Systems,12,Lec 1,GHC 4401,TR,12:30PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Railing, Brian","Gibbons, Phillip"
,,,A,CFA 102,F,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Railing, Brian","Gibbons, Phillip"
,,,B,POS 147,F,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Gibbons, Phillip","Railing, Brian"
,,,C,WEH 5328,F,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Railing, Brian","Gibbons, Phillip"
,,,D,CFA 102,F,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Railing, Brian","Gibbons, Phillip"
,,,E,WEH 5328,F,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Railing, Brian","Gibbons, Phillip"
,,,F,DH 2105,F,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Railing, Brian","Gibbons, Phillip"
,,,G,WEH 5328,F,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Railing, Brian","Gibbons, Phillip"
,,,H,PH 125B,F,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Railing, Brian","Gibbons, Phillip"
,,,I,WEH 5328,F,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Railing, Brian","Gibbons, Phillip"
,,,J,POS 147,F,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Railing, Brian","Gibbons, Phillip"
,,,K,CFA 102,F,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Railing, Brian","Gibbons, Phillip"
,,,Lec 3,CMB 2052,MW,08:30AM,"Doha, Qatar",09:45AM,In-person Expectation,"Harras, Khaled",
,,,W,CMB 2052,R,04:00PM,"Doha, Qatar",04:50PM,In-person Expectation,"Harras, Khaled",
15251,Great Ideas in Theoretical Computer Science,12,Lec 1,GHC 4401,TR,09:30AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Ada, Anil",
,,,,TBA,W,07:00PM,"Pittsburgh, Pennsylvania",08:20PM,In-person Expectation,"Ada, Anil",
,,,A,PH A19C,F,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Ada, Anil",
,,,B,NSH 3002,F,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Ada, Anil",
,,,C,GHC 4101,F,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Ada, Anil",
,,,D,PH 125D,F,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Ada, Anil",
,,,E,WEH 4707,F,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Ada, Anil",
,,,F,WEH 5304,F,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Ada, Anil",
,,,G,PH A20,F,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Ada, Anil",
,,,H,PH A19D,F,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Ada, Anil",
,,,I,PH A19C,F,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Ada, Anil",
,,,J,PH A19D,F,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Ada, Anil",
,,,K,DH 2122,F,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Ada, Anil",
,,,L,DH 1117,F,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Ada, Anil",
,,,M,WEH 5304,F,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Ada, Anil",
,,,N,PH A19D,F,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Ada, Anil",
,,,O,PH A19D,F,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Ada, Anil",
,,,P,PH A19C,F,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Ada, Anil",
15252,More Great Ideas in Theoretical Computer Science,5,A,GHC 4303,T,07:00PM,"Pittsburgh, Pennsylvania",08:20PM,In-person Expectation,"Sutner, Klaus",
15259,Probability and Computing,12,Lec 1,TEP 1403,TR,12:30PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Harchol-Balter, Mor","Saad, Feras"
,,,A,GHC 5222,F,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Harchol-Balter, Mor","Saad, Feras"
,,,B,GHC 5222,F,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Harchol-Balter, Mor","Saad, Feras"
,,,C,GHC 4102,F,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Harchol-Balter, Mor","Saad, Feras"
,,,D,BH 255A,F,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Harchol-Balter, Mor","Saad, Feras"
,,,,DNM,F,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Harchol-Balter, Mor","Saad, Feras"
,,,,DNM,F,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Harchol-Balter, Mor","Saad, Feras"
15281,Artificial Intelligence: Representation and Problem Solving,12,Lec 1,TEP 1403,TR,11:00AM,"Pittsburgh, Pennsylvania",12:20PM,In-person Expectation,"Virtue, Patrick",
,,,A,DH 1211,F,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Virtue, Patrick",
,,,B,WEH 5312,F,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Virtue, Patrick",
,,,C,BH 235B,F,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Virtue, Patrick",
,,,D,BH 235B,F,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Virtue, Patrick",
,,,E,POS 145,F,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Virtue, Patrick",
,,,F,GHC 4301,F,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Virtue, Patrick",
,,,Lec 2,CMB 1190,UT,08:30AM,"Doha, Qatar",09:45AM,In-person Expectation,"Di Caro, Gianni",
,,,W,CMB 1031,T,02:30PM,"Doha, Qatar",03:45PM,In-person Expectation,"Di Caro, Gianni",
15282,Artificial Intelligence for Medicine,10,Lec 1,CMB 3046,MW,08:30AM,"Doha, Qatar",09:45AM,In-person Expectation,"Hammoud, Mohammad",
,,,W,CMB 3046,R,04:00PM,"Doha, Qatar",04:50PM,In-person Expectation,"Hammoud, Mohammad",
15294,Special Topic: Rapid Prototyping Technologies,5,A1,HL 106B,MW,07:00PM,"Pittsburgh, Pennsylvania",08:20PM,In-person only,"Touretzky, David",
15295,Competition Programming II,5,A,POS 151,W,07:00PM,"Pittsburgh, Pennsylvania",09:50PM,In-person Expectation,"Sleator, Danny",
